Word,Vowel,Timeinterval,F1,F2,F3,F4,Speaker,Language
die,ai,80,462.9,2019.6,2479.5,3402.9,20,L1English
die,ai,90,342.1,1947.9,2528.3,3342.3,20,L1English
do,u,10,381.9,2181.2,2561.2,3754.7,12,L1English
do,u,20,393.5,2111.7,2530.4,3778.6,12,L1English
do,u,30,397.4,2095.2,2486,3846.7,12,L1English
do,u,40,387.2,1969.1,2437.2,3768.2,12,L1English
do,u,50,375,1821,2452.9,3722.2,12,L1English
do,u,60,338.6,1656.7,2443.4,3643.1,12,L1English
do,u,70,322.1,1405.6,2595.9,3709.2,12,L1English
do,u,80,323.7,1330.2,2565.4,3783.6,12,L1English
do,u,90,343.1,1487,2828.8,3909.9,12,L1English
do,u,10,304,1852.6,2416.3,3343.6,13,L1English
do,u,20,314.2,1724.1,2354,3358.3,13,L1English
do,u,30,325.1,1483.9,2325.6,3372.3,13,L1English
do,u,40,333.2,1282.6,2320.3,3282.4,13,L1English
do,u,50,325.7,1064,2346.4,3259.6,13,L1English
do,u,60,294.9,858.8,2425.2,3221.1,13,L1English
do,u,70,287.4,717.7,2543.8,3308.6,13,L1English
do,u,80,305.1,721.4,2568.2,3202,13,L1English
do,u,90,299.2,1056.7,2689,3455.8,13,L1English
do,u,10,285.4,2304.6,2671.8,3502,15,L1English
do,u,10,343.3,2049.3,2537.5,3492.4,15,L1English
do,u,20,355.5,2078.4,2517.9,3481.8,15,L1English
do,u,30,343.2,2077.4,2409.2,3595.8,15,L1English
do,u,40,335.6,1610.5,2464.4,3601.1,15,L1English
do,u,40,347.9,1675,2430.9,3520,15,L1English
do,u,50,355.1,1589.5,2355.6,3583.1,15,L1English
do,u,60,358.1,1573.9,2419.6,3764.9,15,L1English
do,u,70,324.9,1244.8,2411,3799.5,15,L1English
do,u,70,319.3,1336.3,2687.3,3781.2,15,L1English
do,u,80,342.1,1305.3,2461.3,3725.5,15,L1English
do,u,90,333.5,1329,2483.7,3917.5,15,L1English
do,u,10,318.4,2006.7,2629,3280.2,19,L1English
do,u,20,336,1879,2603.4,3305.9,19,L1English
do,u,30,348.5,1751.9,2661.9,3324.6,19,L1English
do,u,40,340,1581.7,2719.7,3352.8,19,L1English
do,u,50,342.6,1475.8,2788.7,3403.3,19,L1English
do,u,60,339.7,1321.1,2853.3,3436.2,19,L1English
do,u,70,329.9,1207.6,2848.2,3428.3,19,L1English
do,u,80,327.1,1188.9,2829.5,3421.5,19,L1English
do,u,90,341.5,1245.2,2771,3309.5,19,L1English
do,u,10,218.9,1944.8,2511,3367.8,20,L1English
do,u,20,230.1,1901.6,2692.4,3382,20,L1English
do,u,30,227.4,1894.3,2799.1,3431.3,20,L1English
do,u,40,227.2,1846.2,2880,3548.8,20,L1English
do,u,50,227.5,1806.6,2897.5,3597.5,20,L1English
do,u,60,234,1779.5,2908,3624.8,20,L1English
do,u,70,240.5,1766.1,2934.5,3656.3,20,L1English
do,u,80,245.3,1808,2896,3647.3,20,L1English
do,u,90,243.7,1759.3,2880.3,3527.6,20,L1English
go,ou,10,589.3,1356.4,2534.3,3995.8,12,L1English
go,ou,20,660.6,1310.3,2693.7,3800.9,12,L1English
go,ou,30,639.4,1321.2,2798.9,3846.6,12,L1English
go,ou,40,644,1283.1,2779.5,3849.9,12,L1English
go,ou,50,603,1164.6,2816.2,3789.5,12,L1English
go,ou,60,535.5,1088.2,2839,3675.6,12,L1English
go,ou,70,468.2,905.7,2931.6,3512.9,12,L1English
go,ou,80,431.8,781.7,2996.9,3452.8,12,L1English
go,ou,90,424.4,777.7,2943.8,3364.9,12,L1English
go,ou,10,529.9,1346,2325.7,3246.6,13,L1English
go,ou,20,577.3,1265.3,2492.9,3296.1,13,L1English
go,ou,30,575.6,1168.9,2602.5,3259.9,13,L1English
go,ou,40,544.5,1105.7,2652.5,3250.6,13,L1English
go,ou,50,522.5,1037.6,2710.5,3187.3,13,L1English
go,ou,60,487.1,964.6,2736,3228.6,13,L1English
go,ou,70,428.8,943.2,2730.9,3165,13,L1English
go,ou,80,397.9,909.9,2694.3,3135.5,13,L1English
go,ou,90,410.5,1014.4,2694.4,3073.5,13,L1English
go,ou,10,478.7,1798,2386.8,3660.6,15,L1English
go,ou,20,494.4,1650.4,2339.7,3578.6,15,L1English
go,ou,30,515.1,1539.7,2278.9,3561.3,15,L1English
go,ou,40,493.3,1468.9,2257.5,3546.3,15,L1English
go,ou,50,458.6,1373.9,2224.9,3495.2,15,L1English
go,ou,60,404.9,1295.9,2209.2,3414.3,15,L1English
go,ou,70,378.5,1283,2263.8,3823.1,15,L1English
go,ou,80,359.9,1281,2295.4,3545.5,15,L1English
go,ou,90,332.6,1215.2,2398.9,3811.3,15,L1English
go,ou,10,506.2,1219.5,2781.1,3363,19,L1English
go,ou,20,521.2,1131.3,2866.2,3581.1,19,L1English
go,ou,30,516.8,1068.3,2919.3,3390.2,19,L1English
go,ou,40,508,1025.1,2889.3,3321.4,19,L1English
go,ou,50,495.4,974,2797.8,3196.8,19,L1English
go,ou,60,470.3,892,3027.3,3165.8,19,L1English
go,ou,70,423.7,841.2,3080.6,3633,19,L1English
go,ou,80,408.5,854.7,2970.5,3715,19,L1English
go,ou,90,364.5,1060.3,3002.6,3677.2,19,L1English
go,ou,10,489.3,1309.1,2161.1,3028.4,20,L1English
go,ou,20,538.3,1127.6,2264.4,3080.2,20,L1English
go,ou,30,526.2,1076.7,2314.6,3035.6,20,L1English
go,ou,40,516.8,1002.7,2326.6,3063.5,20,L1English
go,ou,50,478.1,914.4,2370,3094.2,20,L1English
go,ou,60,472.1,807.9,2320,3075.4,20,L1English
go,ou,70,491.8,905,2295.3,3152.4,20,L1English
go,ou,80,373.7,829.2,2340.6,3162,20,L1English
go,ou,90,367.8,1021.2,2147.1,3122,20,L1English
guy,ai,10,696.1,1491.5,2621.6,3920.9,12,L1English
guy,ai,20,792.5,1300.8,2683.3,3786.9,12,L1English
guy,ai,30,855.2,1346.8,2227.4,3865.6,12,L1English
guy,ai,40,867.5,1369.6,2076.2,4043.2,12,L1English
guy,ai,50,888.5,1524.4,2684.8,3795.8,12,L1English
guy,ai,60,838,1668.5,2586.9,3960.8,12,L1English
guy,ai,70,755.2,1856.3,2641.9,4215,12,L1English
guy,ai,80,648.4,2134.4,2763.8,4329.8,12,L1English
guy,ai,90,546.2,2318,2890.3,4194.7,12,L1English
guy,ai,10,752.6,1409,2347.2,3625.7,13,L1English
guy,ai,20,755.2,1307.8,2397.5,3609.8,13,L1English
guy,ai,30,747,1271,2379.5,3584.5,13,L1English
